ESTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	STATOBCAN	POVOLANI	BYDLISTEN	BYDLISTEK	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
5	31	Miroslav	Bezecný			54	CZ	publicista	Sezimovo Ústí	553069	2	2	A	12	0	N	0	0	M	2004	310
6	1	Jan	Zahradil	Ing.		41	CZ	poslanec PS PČR	Praha	1	53	53	A	129888	18.53	A	1	0	M	2004	53
6	2	Petr	Duchoň	RNDr.		47	CZ	fyzik	Brno	3	53	53	A	31175	0	A	3	0	M	2004	53
6	3	Miroslav	Ouzký	MUDr.		45	CZ	poslanec PS PČR	Kadaň	563102	53	53	A	5771	0	A	4	0	M	2004	53
6	4	Hynek	Fajmon	Mgr.		36	CZ	poslanec PS PČR	Lysá nad Labem	537454	53	53	A	4840	0	A	5	0	M (Hynek Fajmon)	2004	53
6	5	Nina	Škottová	Doc. RNDr.	CSc.	57	CZ	docentka lékařské fakulty UP	Bedihošť	589268	53	53	A	9352	0	A	6	0	F	2004	53
6	6	Ivo	Strejček	PaedDr.		42	CZ	pedagog, překladatel	Žďár nad Sázavou	595209	53	53	A	5865	0	A	7	0	M	2004	53
6	7	Oldřich	Vlasák	Ing.		48	CZ	primátor Hradce Králové	Hradec Králové	569810	53	53	A	10801	0	A	8	0	M	2004	53
6	8	Milan	Cabrnoch	MUDr.		41	CZ	lékař	Kolín	533165	53	53	A	5719	0	A	9	0	M	2004	53
6	9	Ivan	Knižátko	Ing.		45	CZ	fyzik	Ostrava	4	53	53	A	5126	0	N	0	1	M	2004	53
6	10	Jaroslav	Zvěřina	Doc. MUDr.	CSc.	61	CZ	psychiatr, sexuolog, poslanec	Tábor	552046	53	53	A	54957	7.84	A	2	0	M	2004	53
6	11	Zdeněk	Vostracký	Prof. Ing.	DrSc.,DEng.FEng	63	CZ	vysokoškolský profesor	Plzeň	2	53	53	A	14944	0	N	0	2	M	2004	53
6	12	Tomáš	Úlehla	Mgr.		39	CZ	soukromý podnikatel	Zlín	585068	53	53	A	6367	0	N	0	3	M	2004	53
6	13	Veronika	Nedvědová	Ing.		41	CZ	poslankyně PS PČR	Orlické Podhůří	580716	53	53	A	4102	0	N	0	4	F	2004	53
6	14	Jaroslav	Zámečník	Ing.	CSc.	37	CZ	člen rady Libereckého kraje	Liberec	563889	53	53	A	3542	0	N	0	5	M	2004	53
6	15	Luděk	Sequens	Mgr.		36	CZ	starosta	Nejdek	555380	53	53	A	2328	0	N	0	6	M	2004	53
6	16	Antonín	Kazda	Mgr.	LL.M.	31	CZ	advokát	Praha	1	53	53	A	2627	0	N	0	7	M	2004	53
6	17	Petr	Plecitý	Mgr.		33	CZ	radní MČ Praha 4	Praha	1	53	53	A	1363	0	N	0	8	M	2004	53
6	18	Kateřina	Trinerová			29	CZ	nákupčí v automobil. průmyslu	Kryry	566314	53	53	A	2770	0	N	0	9	F	2004	53
6	19	Luděk	Sefzig	MUDr.		47	CZ	chirurg, senátor PČR	Rokycany	559717	53	53	A	2265	0	N	0	10	M	2004	53
6	20	Jaromír	Kalus	PhDr.		56	CZ	ředitel muzea	Opava	505927	53	53	A	1706	0	N	0	11	M	2004	53
6	21	Simeon	Karamazov	Doc. Ing.	Dr.	40	CZ	vysokoškolský učitel	Pardubice	555134	53	53	A	1423	0	N	0	12	M	2004	53
6	22	Jan	Šlemr	Ing.		37	CZ	řídící pracovník	Karlovy Vary	554961	53	53	A	589	0	N	0	13	M	2004	53
6	23	Jan	Bartoň	Ing.	CSc.	53	CZ	vedoucí filiálky	Česká Lípa	561380	53	53	A	515	0	N	0	14	M	2004	53
6	24	Jan	Šulc	PhDr.		60	CZ	diplomat	Vsetín	541630	53	53	A	1112	0	N	0	15	M	2004	53
6	25	David	Šeich	Mgr.		27	CZ	poslanec PS PČR	Rajhrad	583758	53	53	A	852	0	N	0	16	M	2004	53
6	26	Helena	Mallotová	Mgr.		59	CZ	poslankyně PS PČR	Praha	1	53	53	A	373	0	N	0	17	F	2004	53
6	27	Karel	Novák	Prof. MUDr.	DrSc.	53	CZ	lékař, vysokoškolský profesor	Rokycany	559717	53	53	A	1955	0	N	0	18	M	2004	53
6	28	Martin	Kučera	Ing.		34	CZ	tlumočník, překladatel	Přerov	511382	53	53	A	1654	0	N	0	19	M	2004	53
6	29	Rostislav	Všetečka	Ing.		48	CZ	ekonom	Opočno	542555	53	53	A	726	0	N	0	20	M	2004	53
6	30	Josef	Hynek	RNDr.		38	CZ	děkan fakulty	Vysoké Mýto	581186	53	53	A	1053	0	N	0	21	M	2004	53
6	31	Ivo	Železný	PhDr.		54	CZ	nakladatel, překladatel	Praha	1	53	53	A	2780	0	N	0	22	M	2004	53
6	32	Raymond	Asuquo	Ing.	PhD.,MBA.	46	CZ	petronom str. rozvoje, ředitel	Břeclav	584291	53	53	A	963	0	N	0	23	M	2004	53
7	1	Eva	Tylová	Ing.		44	CZ	poradkyně pro život. prostředí	Praha	1	103	103	A	815	0	N	0	0	F	2004	103
7	2	Marian	Böhm	Ing.		25	CZ	asistent náměstkyně primátora	Liberec	563889	99	103	A	270	0	N	0	0	M	2004	103
7	3	Pavel	Nováček	RNDr.	CSc.	43	CZ	vysokoškolský učitel - ekolog	Olomouc	500496	103	103	A	741	0	N	0	0	M	2004	103
7	4	Marcela	Neradová			25	CZ	podnikatelka	Strašice	551775	103	103	A	70	0	N	0	0	F	2004	103
7	5	Svatomír	Mlčoch	JUDr.		48	CZ	advokát	České Budějovice	544256	103	103	A	352	0	N	0	0	M	2004	103
7	6	Jan	Šusta			24	CZ	student	Hradec Králové	569810	99	103	A	55	0	N	0	0	M	2004	103
7	7	Eva	Hauserová	RNDr.		49	CZ	spisovatelka	Praha	1	99	103	A	202	0	N	0	0	F	2004	103
7	8	Ivana	Kadochová	Ing.		42	CZ	úřednice MÚ odb.živ.prostředí	Vimperk	550647	103	103	A	62	0	N	0	0	F	2004	103
7	9	Pavel	Navrátil	MUDr.	CSc.	52	CZ	lékař	Prostějov	589250	99	103	A	161	0	N	0	0	M	2004	103
7	10	Zdeněk	Černovský	Ing.	PhD.	32	CZ	projektový vedoucí a konzult.	Říčany	538728	103	103	A	73	0	N	0	0	M	2004	103
7	11	Tomáš	Zdražil		Dr.phil.	30	CZ	učitel	Semily	576964	99	103	A	176	0	N	0	0	M	2004	103
7	12	Simona	Svobodová			34	CZ	podnikatelka	Třebíč	590266	99	103	A	35	0	N	0	0	F	2004	103
7	13	Yvona	Hlinská	Mgr.		40	CZ	lektor - konzultant	Vsetín	541630	99	103	A	67	0	N	0	0	F	2004	103
7	14	Jiří	Kulich	RNDr.		43	CZ	ředitel stř.ekol.výchovy SEVER	Horní Maršov	579262	99	103	A	226	0	N	0	0	M	2004	103
7	15	Lubor	Kysučan	PhDr.		36	CZ	vysokoškolský učitel	Brno	3	99	103	A	115	0	N	0	0	M	2004	103
7	16	Jan	Dráždil			60	CZ	místostarosta	Dubí	567507	103	103	A	35	0	N	0	0	M	2004	103
7	17	Radim	Misiaček	RNDr.		44	CZ	odborný pracovník	Ostrava	4	99	103	A	20	0	N	0	0	M	2004	103
7	18	Marie	Hlávková	Mgr.		29	CZ	psychoterapeutka, publicistka	Praha	1	99	103	A	60	0	N	0	0	F	2004	103
7	19	Karel	Dolejší	Mgr.		33	CZ	sociolog, publicista	Dolní Kounice	582956	99	103	A	43	0	N	0	0	M	2004	103
7	20	Petr	Půlpán	Ing.		37	CZ	obchodní manažer	Holice	574988	99	103	A	17	0	N	0	0	M	2004	103
